acc.x, acc.y, acc.z
0.007942684926092625,-0.0144150136038661,0.9942463636398315
0.006028442643582821,-0.015345394611358643,0.9965073466300964
0.005923666525632143,-0.013939912430942059,0.9997462630271912
0.010255672037601471,-0.015247225761413574,1.004435420036316
0.00804869644343853,-0.01536564901471138,1.003771424293518
0.009174596518278122,-0.014542829245328903,1.0030040740966797
0.006850591395050287,-0.014255069196224213,1.0038071870803833
0.00823192112147808,-0.014396767131984234,0.9995594620704651
0.009346993640065193,-0.015855055302381516,1.000768780708313
0.009412715211510658,-0.013782637193799019,1.0011014938354492
0.003731249365955591,-0.015820331871509552,1.0036137104034424
0.008724762126803398,-0.017054030671715736,0.9996821880340576
0.007807732094079256,-0.01720188930630684,1.0012073516845703
0.012525750324130058,-0.015995733439922333,1.0041533708572388
-0.02915974333882332,0.05695589631795883,1.0597611665725708
0.10055258870124817,-0.1909889578819275,1.0031089782714844
0.06996176391839981,-0.08875153958797455,0.82127845287323
0.03720211982727051,0.08144569396972656,1.274064540863037
-0.1554718315601349,-0.14264191687107086,1.1331074237823486
-0.03829624131321907,-0.0009913505055010319,1.1312918663024902
0.16003909707069397,-0.030681701377034187,0.8143075108528137
0.5459973812103271,-0.12860897183418274,0.7891215085983276
0.7264572978019714,-0.09806166589260101,0.5290635228157043
0.7028048038482666,-0.36713874340057373,0.08125559240579605
0.5640963912010193,-0.33011218905448914,-0.3044354021549225
0.3161737620830536,-0.3436269760131836,-0.4035206437110901
0.1044875830411911,-0.31257376074790955,-0.8262234926223755
0.19080792367458344,-0.3538292348384857,-0.6076981425285339
0.20668701827526093,-0.5450050234794617,-0.2962811589241028
-0.21658098697662354,-0.6886165142059326,-0.37310755252838135
-0.4845980703830719,-0.6336110830307007,-0.46101924777030945
-0.8861773610115051,-0.8428000211715698,-0.6204879879951477
-1.2162076234817505,-1.0715402364730835,-0.7906492948532104
-1.089987874031067,-1.1056146621704102,-1.2040611505508423
-0.9450361132621765,-1.1929525136947632,-0.9014948010444641
-0.7180431485176086,-0.6134901642799377,-0.7624443769454956
0.03076351061463356,-0.5415552854537964,0.014462558552622795
0.21175149083137512,-0.567905068397522,-0.20751994848251343
0.08536075055599213,-0.27042078971862793,-0.39968156814575195
0.2962201237678528,-0.3868635594844818,0.056121014058589935
0.45906904339790344,-1.151711344718933,0.7581729888916016
0.41059359908103943,-0.6496097445487976,0.9935485124588013
0.3750070631504059,-0.05163608491420746,0.9427972435951233
0.25532862544059753,-0.0023680280428379774,0.9982577562332153
0.07771004736423492,-0.07062854617834091,0.8881795406341553
0.1307910829782486,-0.07138791680335999,1.0562100410461426
